,year,month,day,hour,V,Verr,N,Nerr,S,Serr,E,Eerr,W,Werr,NE,NEerr,SE,SEerr,NW,NWerr,SW,SWerr,N2,N2err,S2,S2err,E2,E2err,W2,W2err,N3,N3err,S3,S3err,E3,E3err,W3,W3err,Pres.,TIME
25,2018,1,2,1,2530324,1592,891817,945,916425,958,1126417,1062,1210209,1101,445016,667,461599,680,496211,705,531769,730,258158,508,281996,531,351846,593,401725,634,41913,204,43239,208,86486,294,105328,324,952.125,2018-01-02 01:30:00
26,2018,1,2,2,2532811,1593,892100,945,917243,958,1127151,1062,1209833,1101,444147,667,461483,679,496602,705,532065,730,258413,508,281891,531,351264,593,402687,635,41722,204,43105,207,86783,294,106269,326,951.719,2018-01-02 02:30:00
27,2018,1,2,3,2535984,1593,890614,944,916548,957,1127983,1062,1209359,1100,446271,668,462045,679,497682,705,533570,730,259732,509,282535,531,350692,592,402943,635,42141,205,42949,207,87096,295,106437,326,950.684,2018-01-02 03:30:00
28,2018,1,2,4,2535000,1592,891058,944,916649,957,1128177,1062,1213638,1101,446083,667,461272,679,496854,704,532318,729,259146,509,281901,531,351283,592,402698,634,41991,204,43119,207,86094,293,106531,326,950.201,2018-01-02 04:30:00
29,2018,1,2,5,2535397,1592,895838,946,917599,957,1126821,1061,1211524,1100,447498,668,461150,679,496312,704,532372,729,259547,509,282242,531,352169,593,401257,633,42232,205,43196,207,86696,294,106641,326,950.036,2018-01-02 05:30:00
30,2018,1,2,6,2536296,1592,895128,946,918572,958,1128815,1062,1212093,1101,446369,668,462517,680,499127,706,533015,730,259974,509,282590,531,351466,592,403613,635,41937,204,43215,207,86411,293,105843,325,950.085,2018-01-02 06:30:00
31,2018,1,2,7,2538312,1593,895896,946,916985,957,1129758,1063,1214457,1102,446994,668,462388,680,497598,705,532885,730,260485,510,282218,531,351811,593,402189,634,42141,205,43282,208,86083,293,106835,326,950.211,2018-01-02 07:30:00
32,2018,1,2,8,2538466,1593,893412,945,916902,957,1127539,1061,1212258,1101,447031,668,461679,679,497933,705,533565,730,260925,510,281727,530,351561,592,403461,635,42263,205,42841,206,87289,295,105874,325,950.075,2018-01-02 08:30:00
33,2018,1,2,9,2538562,1593,894851,946,918650,958,1130736,1063,1212776,1101,446039,667,463537,680,498343,706,533253,730,259889,509,283243,532,352997,594,402342,634,42293,205,43355,208,86668,294,107020,327,950.182,2018-01-02 09:30:00
34,2018,1,2,10,2538331,1593,894273,945,917543,958,1130639,1063,1213700,1101,447270,668,464274,681,498981,706,532939,730,260758,510,282828,531,352731,594,401939,634,42137,205,43602,208,87005,295,106640,326,950.467,2018-01-02 10:30:00
35,2018,1,2,11,2540887,1594,894156,945,919875,959,1130111,1063,1212593,1101,446695,668,465179,682,499074,706,533476,730,260840,510,283043,532,352371,593,403655,635,41928,204,43072,207,86609,294,106699,326,950.158,2018-01-02 11:30:00
36,2018,1,2,12,2542696,1594,895642,946,917860,958,1130999,1063,1216465,1103,448963,670,465082,682,498338,706,534844,731,260118,510,282497,531,352251,593,401116,633,42127,205,43474,208,87142,295,106007,325,950.226,2018-01-02 12:30:00
37,2018,1,2,13,2545290,1595,897149,947,921754,960,1131412,1063,1214212,1102,448708,669,463344,680,500394,707,533918,730,261822,511,281991,531,352072,593,403714,635,42487,206,43394,208,86843,294,106043,325,950.312,2018-01-02 13:30:00
38,2018,1,2,14,2544927,1595,896057,946,920561,959,1132062,1064,1212383,1101,446800,668,463088,680,500225,707,534039,730,261317,511,283161,532,352169,593,404146,635,42566,206,43226,207,87154,295,106286,326,950.397,2018-01-02 14:30:00
39,2018,1,2,15,2545146,1595,896662,947,921003,959,1130129,1063,1215748,1102,446434,668,464799,681,500094,707,535228,731,261210,511,281854,530,352419,593,404552,636,42183,205,43439,208,87055,295,106712,326,950.309,2018-01-02 15:30:00
40,2018,1,2,16,2542271,1594,898723,947,917250,957,1129526,1062,1214447,1101,447316,668,461816,679,500774,707,533134,730,261715,511,282860,531,351900,593,403693,635,42391,205,43236,207,87116,295,106848,326,949.912,2018-01-02 16:30:00
41,2018,1,2,17,2542639,1594,895316,946,918926,958,1129456,1062,1216899,1103,446180,667,461837,679,500137,707,532739,729,261220,511,281421,530,352034,593,402871,634,42229,205,43173,207,86970,294,106698,326,949.839,2018-01-02 17:30:00
42,2018,1,2,18,2541730,1593,895263,945,919445,958,1127323,1061,1213738,1101,447776,668,462871,680,498919,706,532843,729,260337,510,282998,531,350831,592,404273,635,42213,205,43417,208,86982,294,106010,325,949.421,2018-01-02 18:30:00
43,2018,1,2,19,2539274,1592,895471,945,918582,957,1129914,1062,1214831,1101,446366,667,462054,679,499196,706,533445,729,261163,510,282395,531,350232,591,403352,634,42150,205,43112,207,86633,294,106796,326,949.039,2018-01-02 19:30:00
44,2018,1,2,20,2535190,1591,893660,944,917946,957,1129049,1061,1213943,1101,445720,667,464521,681,499439,706,532237,729,259609,509,282722,531,351643,592,403402,634,41796,204,43131,207,86637,294,105791,325,948.936,2018-01-02 20:30:00
45,2018,1,2,21,2533931,1590,893546,944,920074,958,1128929,1061,1213119,1100,445963,667,461491,678,498881,705,532338,729,260547,510,282973,531,352100,593,403066,634,42324,205,43382,208,86719,294,105759,325,949.064,2018-01-02 21:30:00
46,2018,1,2,22,2536761,1592,892846,944,920144,959,1127799,1061,1210619,1100,446289,667,462244,679,498821,706,533731,730,259751,509,282875,531,352545,593,402798,634,42113,205,43387,208,87353,295,106350,326,949.628,2018-01-02 22:30:00
47,2018,1,2,23,2531951,1591,894724,946,918903,958,1128088,1062,1211248,1100,445486,667,462987,680,497648,705,533069,730,260026,510,283199,532,350990,592,402512,634,42103,205,43060,207,87048,295,105949,325,950.335,2018-01-02 23:30:00
48,2018,1,3,0,2539885,1594,893879,945,918046,958,1131489,1064,1213433,1102,446871,668,462986,680,498239,706,532954,730,259985,510,282090,531,351772,593,402100,634,42198,205,43515,208,86466,294,106008,325,950.888,2018-01-03 00:30:00
49,2018,1,3,1,2536482,1594,892178,945,919269,959,1127858,1062,1213998,1102,446010,668,463992,681,497606,706,533735,731,260241,510,281904,531,352619,594,403864,636,41867,204,43590,208,87191,295,106303,326,951.455,2018-01-03 01:30:00
50,2018,1,3,2,2538936,1594,896405,947,920568,960,1131185,1064,1213223,1102,446582,668,462907,680,499267,707,534227,731,260384,510,283876,533,351744,593,405177,637,42125,205,43104,207,87206,295,106507,326,951.667,2018-01-03 02:30:00
51,2018,1,3,3,2542525,1595,893258,945,920615,960,1129430,1063,1216078,1103,447714,669,463604,681,498756,706,534065,731,260982,511,283119,532,352821,594,402912,635,42009,205,43116,207,87064,295,106062,325,951.463,2018-01-03 03:30:00
52,2018,1,3,4,2544977,1596,897177,947,920698,960,1131663,1064,1216563,1103,447451,669,462636,680,499424,707,534776,731,260757,511,282856,532,353586,595,403358,635,42148,205,43029,207,86823,294,105866,325,951.293,2018-01-03 04:30:00
53,2018,1,3,5,2545113,1596,896674,947,921328,960,1131514,1064,1214744,1102,447760,669,463975,681,499932,707,534984,731,261603,511,283997,533,352704,594,404759,636,41966,205,43263,208,86911,295,106503,326,951.199,2018-01-03 05:30:00
54,2018,1,3,6,2544322,1596,896510,947,920850,960,1131087,1064,1215591,1103,448086,669,465537,682,498658,706,533877,731,261088,511,282958,532,352995,594,404442,636,42063,205,43609,209,87532,296,106451,326,951.57,2018-01-03 06:30:00
55,2018,1,3,7,2544042,1596,897462,948,922579,961,1133141,1065,1215336,1103,448432,670,464646,682,500598,708,534936,732,260652,511,283337,532,353379,595,405148,637,42241,205,43450,208,86993,295,107182,327,951.732,2018-01-03 07:30:00
56,2018,1,3,8,2547793,1598,897458,948,922195,961,1135791,1067,1215371,1104,449092,671,465112,682,501193,709,536183,733,261859,512,284341,534,354456,596,404767,637,41944,205,43363,208,87000,295,106791,327,952.487,2018-01-03 08:30:00
57,2018,1,3,9,2552092,1600,899860,950,922445,962,1138134,1068,1219634,1106,448088,670,465442,683,500260,708,536290,733,261340,512,283698,533,354152,596,404083,636,42043,205,43448,208,87314,296,106681,327,953.431,2018-01-03 09:30:00
58,2018,1,3,10,2550144,1600,900286,951,924489,963,1135501,1067,1220693,1107,448582,671,466879,684,501706,709,536362,734,261598,512,283760,533,353931,596,405121,637,42294,206,43742,209,87714,296,106573,327,953.896,2018-01-03 10:30:00
